Cutoff,Array Size,Parallel Time
0.111111,572727.272727,0.072500
0.111111,581818.181818,0.073815
0.111111,590909.090909,0.075130
0.111111,600000.000000,0.076444
0.111111,609090.909091,0.077470
0.111111,618181.818182,0.078495
0.111111,627272.727273,0.079520
0.111111,636363.636364,0.080545
0.111111,645454.545455,0.081571
0.111111,654545.454545,0.082596
0.111111,663636.363636,0.083621
0.111111,672727.272727,0.084646
0.111111,681818.181818,0.085672
0.111111,690909.090909,0.086697
0.111111,700000.000000,0.087722
0.111111,709090.909091,0.087641
0.111111,718181.818182,0.087561
0.111111,727272.727273,0.087480
0.111111,736363.636364,0.087399
0.111111,745454.545455,0.087318
0.111111,754545.454545,0.087237
0.111111,763636.363636,0.087157
0.111111,772727.272727,0.087076
0.111111,781818.181818,0.086995
0.111111,790909.090909,0.086914
0.111111,800000.000000,0.086833
0.111111,809090.909091,0.087796
0.111111,818181.818182,0.088759
0.111111,827272.727273,0.089722
0.111111,836363.636364,0.090685
0.111111,845454.545455,0.091648
0.111111,854545.454545,0.092611
0.111111,863636.363636,0.093574
0.111111,872727.272727,0.094537
0.111111,881818.181818,0.095500
0.111111,890909.090909,0.096463
0.111111,900000.000000,0.097426
0.111111,909090.909091,0.101190
0.111111,918181.818182,0.104955
0.111111,927272.727273,0.108719
0.111111,936363.636364,0.112483
0.111111,945454.545455,0.116247
0.111111,954545.454545,0.120012
0.111111,963636.363636,0.123776
0.111111,972727.272727,0.127540
0.111111,981818.181818,0.131305
0.111111,990909.090909,0.135069
0.111111,1000000.000000,0.138833
0.222222,100000.000000,0.000000
0.222222,109090.909091,0.011194
0.222222,118181.818182,0.012295
0.222222,127272.727273,0.013396
0.222222,136363.636364,0.014497
0.222222,145454.545455,0.015598
0.222222,154545.454545,0.016699
0.222222,163636.363636,0.017800
0.222222,172727.272727,0.018901
0.222222,181818.181818,0.020002
0.222222,190909.090909,0.021103
0.222222,200000.000000,0.022204
0.222222,209090.909091,0.023365
0.222222,218181.818182,0.024527
0.222222,227272.727273,0.025689
0.222222,236363.636364,0.026850
0.222222,245454.545455,0.028012
0.222222,254545.454545,0.029173
0.222222,263636.363636,0.030335
0.222222,272727.272727,0.031497
0.222222,281818.181818,0.032658
0.222222,290909.090909,0.033820
0.222222,300000.000000,0.034981
0.222222,309090.909091,0.036088
0.222222,318181.818182,0.037194
0.222222,327272.727273,0.038300
0.222222,336363.636364,0.039406
0.222222,345454.545455,0.040512
0.222222,354545.454545,0.041618
0.222222,363636.363636,0.042724
0.222222,372727.272727,0.043830
0.222222,381818.181818,0.044936
0.222222,390909.090909,0.046042
0.222222,400000.000000,0.047148
0.222222,409090.909091,0.048222
0.222222,418181.818182,0.049296
0.222222,427272.727273,0.050370
0.222222,436363.636364,0.051444
0.222222,445454.545455,0.052519
0.222222,454545.454545,0.053593
0.222222,463636.363636,0.054667
0.222222,472727.272727,0.055741
0.222222,481818.181818,0.056815
0.222222,490909.090909,0.057889
0.222222,500000.000000,0.058963
0.222222,509090.909091,0.060183
0.222222,518181.818182,0.061404
0.222222,527272.727273,0.062625
0.222222,536363.636364,0.063845
0.222222,545454.545455,0.065066
0.222222,554545.454545,0.066286
0.222222,563636.363636,0.067507
0.222222,572727.272727,0.068727
0.222222,581818.181818,0.069948
0.222222,590909.090909,0.071168
0.222222,600000.000000,0.072389
0.222222,609090.909091,0.073318
0.222222,618181.818182,0.074247
0.222222,627272.727273,0.075177
0.222222,636363.636364,0.076106
0.222222,645454.545455,0.077035
0.222222,654545.454545,0.077965
0.222222,663636.363636,0.078894
0.222222,672727.272727,0.079823
0.222222,681818.181818,0.080752
0.222222,690909.090909,0.081682
0.222222,700000.000000,0.082611
0.222222,709090.909091,0.082571
0.222222,718181.818182,0.082530
0.222222,727272.727273,0.082490
0.222222,736363.636364,0.082449
0.222222,745454.545455,0.082409
0.222222,754545.454545,0.082369
0.222222,763636.363636,0.082328
0.222222,772727.272727,0.082288
0.222222,781818.181818,0.082247
0.222222,790909.090909,0.082207
0.222222,800000.000000,0.082167
0.222222,809090.909091,0.083093
0.222222,818181.818182,0.084019
0.222222,827272.727273,0.084944
0.222222,836363.636364,0.085870
0.222222,845454.545455,0.086796
0.222222,854545.454545,0.087722
0.222222,863636.363636,0.088648
0.222222,872727.272727,0.089574
0.222222,881818.181818,0.090500
