Cutoff,Array Size,Serial Time
6.000000,945454.545455,0.129485
6.000000,954545.454545,0.132015
6.000000,963636.363636,0.134546
6.000000,972727.272727,0.137076
6.000000,981818.181818,0.139606
6.000000,990909.090909,0.142137
6.000000,1000000.000000,0.144667
6.111111,100000.000000,0.000000
6.111111,109090.909091,0.013263
6.111111,118181.818182,0.014581
6.111111,127272.727273,0.015899
6.111111,136363.636364,0.017217
6.111111,145454.545455,0.018535
6.111111,154545.454545,0.019854
6.111111,163636.363636,0.021172
6.111111,172727.272727,0.022490
6.111111,181818.181818,0.023808
6.111111,190909.090909,0.025126
6.111111,200000.000000,0.026444
6.111111,209090.909091,0.028465
6.111111,218181.818182,0.030485
6.111111,227272.727273,0.032505
6.111111,236363.636364,0.034525
6.111111,245454.545455,0.036545
6.111111,254545.454545,0.038566
6.111111,263636.363636,0.040586
6.111111,272727.272727,0.042606
6.111111,281818.181818,0.044626
6.111111,290909.090909,0.046646
6.111111,300000.000000,0.048667
6.111111,309090.909091,0.049892
6.111111,318181.818182,0.051118
6.111111,327272.727273,0.052343
6.111111,336363.636364,0.053569
6.111111,345454.545455,0.054795
6.111111,354545.454545,0.056020
6.111111,363636.363636,0.057246
6.111111,372727.272727,0.058471
6.111111,381818.181818,0.059697
6.111111,390909.090909,0.060923
6.111111,400000.000000,0.062148
6.111111,409090.909091,0.063276
6.111111,418181.818182,0.064404
6.111111,427272.727273,0.065532
6.111111,436363.636364,0.066660
6.111111,445454.545455,0.067788
6.111111,454545.454545,0.068916
6.111111,463636.363636,0.070044
6.111111,472727.272727,0.071172
6.111111,481818.181818,0.072300
6.111111,490909.090909,0.073428
6.111111,500000.000000,0.074556
6.111111,509090.909091,0.076103
6.111111,518181.818182,0.077650
6.111111,527272.727273,0.079197
6.111111,536363.636364,0.080744
6.111111,545454.545455,0.082291
6.111111,554545.454545,0.083838
6.111111,563636.363636,0.085386
6.111111,572727.272727,0.086933
6.111111,581818.181818,0.088480
6.111111,590909.090909,0.090027
6.111111,600000.000000,0.091574
6.111111,609090.909091,0.092663
6.111111,618181.818182,0.093753
6.111111,627272.727273,0.094842
6.111111,636363.636364,0.095931
6.111111,645454.545455,0.097020
6.111111,654545.454545,0.098110
6.111111,663636.363636,0.099199
6.111111,672727.272727,0.100288
6.111111,681818.181818,0.101377
6.111111,690909.090909,0.102467
6.111111,700000.000000,0.103556
6.111111,709090.909091,0.104542
6.111111,718181.818182,0.105529
6.111111,727272.727273,0.106515
6.111111,736363.636364,0.107502
6.111111,745454.545455,0.108488
6.111111,754545.454545,0.109475
6.111111,763636.363636,0.110461
6.111111,772727.272727,0.111448
6.111111,781818.181818,0.112434
6.111111,790909.090909,0.113421
6.111111,800000.000000,0.114407
6.111111,809090.909091,0.114620
6.111111,818181.818182,0.114832
6.111111,827272.727273,0.115044
6.111111,836363.636364,0.115256
6.111111,845454.545455,0.115468
6.111111,854545.454545,0.115680
6.111111,863636.363636,0.115892
6.111111,872727.272727,0.116104
6.111111,881818.181818,0.116316
6.111111,890909.090909,0.116528
6.111111,900000.000000,0.116740
6.111111,909090.909091,0.119156
6.111111,918181.818182,0.121572
6.111111,927272.727273,0.123988
