Cutoff,Array Size,Parallel Time
3.252525,800000.000000,0.025260
3.252525,809090.909091,0.025482
3.252525,818181.818182,0.025705
3.252525,827272.727273,0.025927
3.252525,836363.636364,0.026149
3.252525,845454.545455,0.026371
3.252525,854545.454545,0.026593
3.252525,863636.363636,0.026816
3.252525,872727.272727,0.027038
3.252525,881818.181818,0.027260
3.252525,890909.090909,0.027482
3.252525,900000.000000,0.027705
3.252525,909090.909091,0.028022
3.252525,918181.818182,0.028340
3.252525,927272.727273,0.028658
3.252525,936363.636364,0.028975
3.252525,945454.545455,0.029293
3.252525,954545.454545,0.029611
3.252525,963636.363636,0.029929
3.252525,972727.272727,0.030246
3.252525,981818.181818,0.030564
3.252525,990909.090909,0.030882
3.252525,1000000.000000,0.031199
3.323232,100000.000000,0.000000
3.323232,109090.909091,0.002984
3.323232,118181.818182,0.003226
3.323232,127272.727273,0.003468
3.323232,136363.636364,0.003710
3.323232,145454.545455,0.003952
3.323232,154545.454545,0.004194
3.323232,163636.363636,0.004436
3.323232,172727.272727,0.004678
3.323232,181818.181818,0.004920
3.323232,190909.090909,0.005162
3.323232,200000.000000,0.005404
3.323232,209090.909091,0.005715
3.323232,218181.818182,0.006026
3.323232,227272.727273,0.006337
3.323232,236363.636364,0.006647
3.323232,245454.545455,0.006958
3.323232,254545.454545,0.007269
3.323232,263636.363636,0.007580
3.323232,272727.272727,0.007891
3.323232,281818.181818,0.008202
3.323232,290909.090909,0.008512
3.323232,300000.000000,0.008823
3.323232,309090.909091,0.009156
3.323232,318181.818182,0.009489
3.323232,327272.727273,0.009822
3.323232,336363.636364,0.010155
3.323232,345454.545455,0.010488
3.323232,354545.454545,0.010820
3.323232,363636.363636,0.011153
3.323232,372727.272727,0.011486
3.323232,381818.181818,0.011819
3.323232,390909.090909,0.012152
3.323232,400000.000000,0.012485
3.323232,409090.909091,0.012750
3.323232,418181.818182,0.013014
3.323232,427272.727273,0.013279
3.323232,436363.636364,0.013544
3.323232,445454.545455,0.013808
3.323232,454545.454545,0.014073
3.323232,463636.363636,0.014338
3.323232,472727.272727,0.014602
3.323232,481818.181818,0.014867
3.323232,490909.090909,0.015132
3.323232,500000.000000,0.015396
3.323232,509090.909091,0.015781
3.323232,518181.818182,0.016166
3.323232,527272.727273,0.016551
3.323232,536363.636364,0.016936
3.323232,545454.545455,0.017321
3.323232,554545.454545,0.017706
3.323232,563636.363636,0.018091
3.323232,572727.272727,0.018476
3.323232,581818.181818,0.018861
3.323232,590909.090909,0.019246
3.323232,600000.000000,0.019631
3.323232,609090.909091,0.019919
3.323232,618181.818182,0.020206
3.323232,627272.727273,0.020494
3.323232,636363.636364,0.020781
3.323232,645454.545455,0.021068
3.323232,654545.454545,0.021356
3.323232,663636.363636,0.021643
3.323232,672727.272727,0.021931
3.323232,681818.181818,0.022218
3.323232,690909.090909,0.022506
3.323232,700000.000000,0.022793
3.323232,709090.909091,0.023043
3.323232,718181.818182,0.023293
3.323232,727272.727273,0.023543
3.323232,736363.636364,0.023793
3.323232,745454.545455,0.024043
3.323232,754545.454545,0.024293
3.323232,763636.363636,0.024543
3.323232,772727.272727,0.024793
3.323232,781818.181818,0.025043
3.323232,790909.090909,0.025293
3.323232,800000.000000,0.025543
3.323232,809090.909091,0.025783
3.323232,818181.818182,0.026023
3.323232,827272.727273,0.026263
3.323232,836363.636364,0.026503
3.323232,845454.545455,0.026742
3.323232,854545.454545,0.026982
3.323232,863636.363636,0.027222
3.323232,872727.272727,0.027462
3.323232,881818.181818,0.027702
3.323232,890909.090909,0.027942
3.323232,900000.000000,0.028182
3.323232,909090.909091,0.028487
3.323232,918181.818182,0.028792
3.323232,927272.727273,0.029096
3.323232,936363.636364,0.029401
3.323232,945454.545455,0.029706
3.323232,954545.454545,0.030011
3.323232,963636.363636,0.030316
3.323232,972727.272727,0.030621
3.323232,981818.181818,0.030926
3.323232,990909.090909,0.031230
3.323232,1000000.000000,0.031535
3.393939,100000.000000,0.000000
3.393939,109090.909091,0.003041
3.393939,118181.818182,0.003286
3.393939,127272.727273,0.003531
3.393939,136363.636364,0.003776
3.393939,145454.545455,0.004021
3.393939,154545.454545,0.004267
3.393939,163636.363636,0.004512
3.393939,172727.272727,0.004757
3.393939,181818.181818,0.005002
3.393939,190909.090909,0.005247
3.393939,200000.000000,0.005492
3.393939,209090.909091,0.005802
3.393939,218181.818182,0.006111
3.393939,227272.727273,0.006420
3.393939,236363.636364,0.006729
3.393939,245454.545455,0.007039
3.393939,254545.454545,0.007348
3.393939,263636.363636,0.007657
3.393939,272727.272727,0.007966
3.393939,281818.181818,0.008275
3.393939,290909.090909,0.008585
3.393939,300000.000000,0.008894
3.393939,309090.909091,0.009230
3.393939,318181.818182,0.009566
3.393939,327272.727273,0.009902
3.393939,336363.636364,0.010238
3.393939,345454.545455,0.010574
3.393939,354545.454545,0.010910
3.393939,363636.363636,0.011247
3.393939,372727.272727,0.011583
3.393939,381818.181818,0.011919
3.393939,390909.090909,0.012255
3.393939,400000.000000,0.012591
3.393939,409090.909091,0.012859
3.393939,418181.818182,0.013127
3.393939,427272.727273,0.013395
3.393939,436363.636364,0.013663
3.393939,445454.545455,0.013930
3.393939,454545.454545,0.014198
3.393939,463636.363636,0.014466
3.393939,472727.272727,0.014734
3.393939,481818.181818,0.015002
3.393939,490909.090909,0.015270
3.393939,500000.000000,0.015538
3.393939,509090.909091,0.015933
3.393939,518181.818182,0.016327
3.393939,527272.727273,0.016722
3.393939,536363.636364,0.017116
3.393939,545454.545455,0.017511
3.393939,554545.454545,0.017906
3.393939,563636.363636,0.018300
3.393939,572727.272727,0.018695
3.393939,581818.181818,0.019090
3.393939,590909.090909,0.019484
3.393939,600000.000000,0.019879
3.393939,609090.909091,0.020169
3.393939,618181.818182,0.020460
3.393939,627272.727273,0.020751
3.393939,636363.636364,0.021041
3.393939,645454.545455,0.021332
3.393939,654545.454545,0.021623
3.393939,663636.363636,0.021913
3.393939,672727.272727,0.022204
3.393939,681818.181818,0.022494
3.393939,690909.090909,0.022785
3.393939,700000.000000,0.023076
3.393939,709090.909091,0.023326
3.393939,718181.818182,0.023576
